cartodb_id,end_num_rides,start_num_rides,total_num_rides,ttl_per,ed_per_out,st_per_out,ed_per_in,st_per_in,station_id,station_lon,station_lat,std_rides,the_geom
37,3962,4917,8879,0.68%,0.61%,0.75%,44.60%,55.40%,3075,-75.16125,39.96718,-0.37,0101000020E6100000B81E85EB51CA52C032ACE28DCCFB4340
38,4650,5077,9727,0.75%,0.72%,0.78%,47.80%,52.20%,3074,-75.20987,39.95511,-0.28,0101000020E6100000569A94826ECD52C0910A630B41FA4340
39,4607,4549,9156,0.70%,0.71%,0.69%,50.30%,49.70%,3073,-75.15242,39.96143,-0.34,0101000020E610000068D0D03FC1C952C057B2632310FB4340
40,4795,4357,9152,0.70%,0.74%,0.67%,52.40%,47.60%,3072,-75.14541,39.93445,-0.34,0101000020E6100000BAA0BE654EC952C0A4DFBE0E9CF74340
107,,,12431,,,,,,average ,,,,
41,3446,4470,7916,0.61%,0.53%,0.68%,43.50%,56.50%,3071,-75.18788,39.96173,-0.47,0101000020E6100000A4E4D53906CC52C082CAF8F719FB4340
42,4703,4419,9122,0.70%,0.72%,0.67%,51.60%,48.40%,3070,-75.13983,39.96062,-0.34,0101000020E6100000FB3F87F9F2C852C017F19D98F5FA4340
43,7386,7347,14733,1.13%,1.14%,1.12%,50.10%,49.90%,3069,-75.15038,39.93704,0.24,0101000020E61000003D7E6FD39FC952C09D853DEDF0F74340
44,7095,7273,14368,1.10%,1.09%,1.11%,49.40%,50.60%,3068,-75.16711,39.93549,0.2,0101000020E6100000693524EEB1CA52C016DEE522BEF74340
45,1101,1288,2389,0.18%,0.17%,0.20%,46.10%,53.90%,3067,-75.19973,39.96411,-1.04,0101000020E6100000ED815660C8CC52C08FDFDBF467FB4340
46,8977,9999,18976,1.45%,1.38%,1.53%,47.30%,52.70%,3066,-75.17348,39.94561,0.68,0101000020E6100000A5A0DB4B1ACB52C0A2629CBF09F94340
47,1046,1279,2325,0.18%,0.16%,0.20%,45.00%,55.00%,3065,-75.15171,39.9707,-1.04,0101000020E6100000791EDC9DB5C952C0151DC9E53FFC4340
48,7005,6938,13943,1.07%,1.08%,1.06%,50.20%,49.80%,3064,-75.17327,39.9384,0.16,0101000020E610000030D80DDB16CB52C08048BF7D1DF84340
49,10289,10843,21132,1.62%,1.58%,1.66%,48.70%,51.30%,3063,-75.1698,39.94633,0.9,0101000020E610000017B7D100DECA52C0A29C685721F94340
50,7659,7212,14871,1.14%,1.18%,1.10%,51.50%,48.50%,3062,-75.17943,39.95197,0.25,0101000020E6100000F67AF7C77BCB52C0F6622827DAF94340
51,11797,11314,23111,1.77%,1.81%,1.73%,51.00%,49.00%,3061,-75.17761,39.95425,1.1,0101000020E6100000535C55F65DCB52C0A01A2FDD24FA4340
52,6732,6183,12915,0.99%,1.04%,0.94%,52.10%,47.90%,3060,-75.17036,39.95923,0.05,0101000020E6100000FB22A12DE7CA52C0C9AB730CC8FA4340
53,6208,7136,13344,1.02%,0.95%,1.09%,46.50%,53.50%,3059,-75.16174,39.96265,0.09,0101000020E61000001F9DBAF259CA52C048BF7D1D38FB4340
54,6378,7763,14141,1.08%,0.98%,1.19%,45.10%,54.90%,3058,-75.17001,39.96716,0.18,0101000020E61000008D7F9F71E1CA52C0EBFF1CE6CBFB4340
55,13456,13430,26886,2.06%,2.07%,2.05%,50.00%,50.00%,3057,-75.17999,39.96442,1.49,0101000020E6100000DAE6C6F484CB52C0DDCD531D72FB4340
56,7181,7521,14702,1.13%,1.10%,1.15%,48.80%,51.20%,3056,-75.15813,39.97669,0.23,0101000020E61000000EA14ACD1ECA52C0452A8C2D04FD4340
