cartodb_id,station_id,coordinates_lon,coordinates_lat,type,addressstreet,addresszipcode,bikesavailable,docksavailable,name,timezone,totaldocks,total_num_rides,std_rides,station_lat,station_lon,start_num_rides,end_num_rides,st_per_in,ed_per_in,st_per_out,ed_per_out,ttl_per,the_geom
71,3078,-75.17192,39.95355,Point,1901 Market St.,19103,12,6,19th & Market,Eastern Standard Time,18,5285,-0.74,39.95355,-75.17192,2599,2686,49.20%,50.80%,0.40%,0.41%,0.40%,0101000020E6100000D061BEBC00CB52C0E78C28ED0DFA4340
1,3004,-75.16374,39.95378,Point,1401 John F. Kennedy Blvd.,19102,10,15,Municipal Services Building Plaza,Eastern Standard Time,25,20182,0.8,39.95378,-75.16374,9717,10465,48.10%,51.90%,1.48%,1.61%,1.55%,0101000020E6100000034356B77ACA52C019CA897615FA4340
2,3005,-75.14403,39.94733,Point,191 S. 2nd St.,19106,4,9,"Welcome Park, NPS",Eastern Standard Time,13,9095,-0.34,39.94733,-75.14403,4283,4812,47.10%,52.90%,0.65%,0.74%,0.70%,0101000020E610000025E99AC937C952C08542041C42F94340
3,3006,-75.20311,39.9522,Point,246 S. 40th St.,19104,7,10,40th & Spruce,Eastern Standard Time,17,15788,0.35,39.9522,-75.20311,8367,7421,53.00%,47.00%,1.28%,1.14%,1.21%,0101000020E610000065DF15C1FFCC52C027A089B0E1F94340
4,3007,-75.15993,39.94517,Point,328 S. 11th St.,19107,12,3,"11th & Pine, Kahn Park",Eastern Standard Time,15,25366,1.34,39.94517,-75.15993,12424,12942,49.00%,51.00%,1.90%,1.99%,1.94%,0101000020E61000008EE9094B3CCA52C085949F54FBF84340
5,3008,-75.15055,39.98078,Point,1076 Berks Street,19122,5,14,Temple University Station,Eastern Standard Time,19,4772,-0.79,39.98078,-75.15055,2453,2319,51.40%,48.60%,0.37%,0.36%,0.37%,0101000020E61000006B9A779CA2C952C01349F4328AFD4340
6,3009,-75.18982,39.95576,Point,3318 Market St.,19104,5,9,33rd & Market,Eastern Standard Time,14,21451,0.93,39.95576,-75.18982,10361,11090,48.30%,51.70%,1.58%,1.71%,1.64%,0101000020E61000001C08C90226CC52C09869FB5756FA4340
7,3010,-75.16618,39.94711,Point,1483 Spruce St.,19102,12,7,15th & Spruce,Eastern Standard Time,19,39368,2.79,39.94711,-75.16618,19752,19616,50.20%,49.80%,3.02%,3.02%,3.02%,0101000020E6100000F44F70B1A2CA52C077DB85E63AF94340
8,3011,-75.19701,39.96046,Point,3801 Lancaster Avenue,19104,5,3,38th & Lancaster,Eastern Standard Time,8,6798,-0.58,39.96046,-75.19701,3643,3155,53.60%,46.40%,0.56%,0.49%,0.52%,0101000020E61000000ABFD4CF9BCC52C0DE8E705AF0FA4340
9,3012,-75.17747,39.94218,Point,807 S. 21st St.,19149,11,16,21st & Catharine,Eastern Standard Time,27,23675,1.16,39.94218,-75.17747,12056,11619,50.90%,49.10%,1.84%,1.79%,1.81%,0101000020E61000005A8121AB5BCB52C0FF78AF5A99F84340
10,3013,-75.14792,39.96317,Point,674 N. 6th St.,19123,7,8,6th & Fairmount,Eastern Standard Time,15,6767,-0.59,39.96317,-75.14792,3492,3275,51.60%,48.40%,0.53%,0.50%,0.52%,0101000020E6100000289B728577C952C0813E912749FB4340
11,3014,-75.17369,39.95886,Point,2090 Winter St.,19103,2,23,"21st & Winter, Franklin Institute",Eastern Standard Time,25,14157,0.18,39.95886,-75.17369,7010,7147,49.50%,50.50%,1.07%,1.10%,1.08%,0101000020E61000001A69A9BC1DCB52C0A6B8AAECBBFA4340
12,3015,-75.14886,39.94735,Point,422 Walnut St.,19106,3,8,"4th & Walnut, NPS",Eastern Standard Time,11,11301,-0.12,39.94735,-75.14886,5396,5905,47.70%,52.30%,0.82%,0.91%,0.87%,0101000020E6100000AFEB17EC86C952C0CCEEC9C342F94340
13,3016,-75.1547,39.96892,Point,1100 Poplar St.,19123,3,12,"11th & Poplar, John F. Street Community Center",Eastern Standard Time,15,839,-1.2,39.96892,-75.1547,420,419,50.10%,49.90%,0.06%,0.06%,0.06%,0101000020E61000003D2CD49AE6C952C05C38109205FC4340
14,3017,-75.14371,39.98003,Point,527 W. Berks St.,19122,5,10,6th & Berks,Eastern Standard Time,15,2098,-1.07,39.98003,-75.14371,959,1139,45.70%,54.30%,0.15%,0.18%,0.16%,0101000020E6100000EC866D8B32C952C0A88C7F9F71FD4340
15,3018,-75.15979,39.95273,Point,1200 Filbert St.,19107,9,9,12th & Filbert,Eastern Standard Time,18,23183,1.11,39.95273,-75.15979,11526,11657,49.70%,50.30%,1.76%,1.79%,1.78%,0101000020E6100000950ED6FF39CA52C084F57F0EF3F94340
16,3019,-75.14983,39.95403,Point,160 N. 6th St.,19106,5,10,6th & Race,Eastern Standard Time,15,7680,-0.49,39.95403,-75.14983,3893,3787,50.70%,49.30%,0.59%,0.58%,0.59%,0101000020E61000006B7D91D096C952C092B3B0A71DFA4340
17,3020,-75.18986,39.94887,Point,3051 South St.,19147,10,25,University City Station,Eastern Standard Time,35,25694,1.37,39.94887,-75.18986,13770,11924,53.60%,46.40%,2.10%,1.83%,1.97%,0101000020E610000063B48EAA26CC52C0E813799274F94340
18,3021,-75.16902,39.9539,Point,1750 John F. Kennedy Blvd.,19103,9,25,18th & JFK,Eastern Standard Time,34,40629,2.92,39.9539,-75.16902,18503,22126,45.50%,54.50%,2.82%,3.40%,3.11%,0101000020E6100000AD174339D1CA52C0C3D32B6519FA4340
