cartodb_id,station_id,coordinates_lon,coordinates_lat,type,addressstreet,addresszipcode,bikesavailable,docksavailable,name,timezone,totaldocks,total_num_rides,std_rides,station_lat,station_lon,start_num_rides,end_num_rides,st_per_in,ed_per_in,st_per_out,ed_per_out,ttl_per,the_geom
19,3022,-75.18323,39.95472,Point,2933 Market Street,19104,5,16,Amtrak 30th Street Station,Eastern Standard Time,21,31204,1.94,39.95472,-75.18323,15623,15581,50.10%,49.90%,2.39%,2.40%,2.39%,0101000020E61000005969520ABACB52C0276BD44334FA4340
20,3023,-75.17286,39.95048,Point,1911 Walnut St,19103,9,11,Rittenhouse Square,Eastern Standard Time,21,53299,4.23,39.95048,-75.17286,26133,27166,49.00%,51.00%,3.99%,4.18%,4.08%,0101000020E610000057B2632310CB52C044C02154A9F94340
21,3024,-75.20908,39.94822,Point,598 S. 43rd St.,19104,13,3,"43rd & Chester, Clark Park",Eastern Standard Time,19,9586,-0.29,39.94822,-75.20908,4895,4691,51.10%,48.90%,0.75%,0.72%,0.73%,0101000020E6100000DA8F149161CD52C0E1B4E0455FF94340
22,3025,-75.1612,39.93724,Point,1084 Washington Ave.,19147,13,2,11th & Washington,Eastern Standard Time,15,12755,0.03,39.93724,-75.1612,6502,6253,51.00%,49.00%,0.99%,0.96%,0.98%,0101000020E61000005F07CE1951CA52C06440F67AF7F74340
23,3026,-75.14564,39.94138,Point,523 S. 2nd St.,19147,11,6,2nd & South,Eastern Standard Time,17,17790,0.55,39.94138,-75.14564,8516,9274,47.90%,52.10%,1.30%,1.43%,1.36%,0101000020E6100000533F6F2A52C952C0E38DCC237FF84340
24,3027,-75.20177,39.95708,Point,3984 Market St.,19104,4,11,"40th Street Station, MFL",Eastern Standard Time,15,8308,-0.43,39.95708,-75.20177,4824,3484,58.10%,41.90%,0.74%,0.54%,0.64%,0101000020E610000017D4B7CCE9CC52C0EDD3F19881FA4340
25,3028,-75.14958,39.94061,Point,404 Bainbridge St.,19147,10,5,4th & Bainbridge,Eastern Standard Time,15,25205,1.32,39.94061,-75.14958,11691,13514,46.40%,53.60%,1.78%,2.08%,1.93%,0101000020E6100000AF08FEB792C952C0312592E865F84340
26,3029,-75.19479,39.9538,Point,125 S. 36th St.,19104,0,17,36th & Sansom,Eastern Standard Time,17,25517,1.35,39.9538,-75.19479,13209,12308,51.80%,48.20%,2.02%,1.89%,1.95%,0101000020E61000009FE5797077CC52C060764F1E16FA4340
27,3030,-75.15716,39.93935,Point,840 S. Darien St.,19147,18,11,Darien & Catharine,Eastern Standard Time,29,17601,0.53,39.93935,-75.15716,8773,8828,49.80%,50.20%,1.34%,1.36%,1.35%,0101000020E6100000520FD1E80ECA52C0B1BFEC9E3CF84340
28,3031,-75.15522,39.98005,Point,1284 W. Montgomery Ave.,19122,11,10,13th & Montgomery,Eastern Standard Time,21,13072,0.07,39.98005,-75.15522,6682,6390,51.10%,48.90%,1.02%,0.98%,1.00%,0101000020E6100000D9EBDD1FEFC952C0EF38454772FD4340
29,3032,-75.17971,39.94527,Point,671 S. 23rd St.,19146,13,4,23rd & South,Eastern Standard Time,17,34225,2.25,39.94527,-75.17971,16985,17240,49.60%,50.40%,2.59%,2.65%,2.62%,0101000020E6100000E8305F5E80CB52C0E9F17B9BFEF84340
30,3033,-75.15672,39.95005,Point,921 Chestnut St.,19107,4,16,10th & Chestnut,Eastern Standard Time,20,15101,0.28,39.95005,-75.15672,7352,7749,48.70%,51.30%,1.12%,1.19%,1.16%,0101000020E610000044A852B307CA52C04BC8073D9BF94340
31,3034,-75.16248,39.93315,Point,1116 Reed St.,19147,15,1,11th & Reed,Eastern Standard Time,16,17139,0.49,39.93315,-75.16248,8117,9022,47.40%,52.60%,1.24%,1.39%,1.31%,0101000020E61000004390831266CA52C096218E7571F74340
32,3035,-75.19419,39.96271,Point,3599 Spring Garden,19104,5,15,Dornsife Center,Eastern Standard Time,20,7445,-0.52,39.96271,-75.19419,4355,3090,58.50%,41.50%,0.66%,0.48%,0.57%,0101000020E610000075CDE49B6DCC52C01EC4CE143AFB4340
33,3036,-75.14001,39.96844,Point,1104 Germantown Ave.,19123,6,9,2nd & Germantown,Eastern Standard Time,15,6277,-0.64,39.96844,-75.14001,2949,3328,47.00%,53.00%,0.45%,0.51%,0.48%,0101000020E61000003BC780ECF5C852C0B21188D7F5FB4340
34,3037,-75.16138,39.95424,Point,1321 Arch St.,19107,1,20,Pennsylvania Convention Center,Eastern Standard Time,21,13895,0.15,39.95424,-75.16138,6757,7138,48.60%,51.40%,1.03%,1.10%,1.06%,0101000020E61000009F8EC70C54CA52C07C444C8924FA4340
35,3038,-75.19409,39.94781,Point,3499 Civic Center Blvd.,19104,6,13,The Children's Hospital of Philadelphia (CHOP),Eastern Standard Time,19,14713,0.24,39.94781,-75.19409,7648,7065,52.00%,48.00%,1.17%,1.09%,1.13%,0101000020E6100000C39E76F86BCC52C02F698CD651F94340
36,3039,-75.1597,39.97121,Point,922 N. Broad St.,19130,5,13,Broad & Girard,Eastern Standard Time,19,9731,-0.28,39.97121,-75.1597,5347,4384,54.90%,45.10%,0.82%,0.67%,0.75%,0101000020E6100000F54A598638CA52C02AC6F99B50FC4340
37,3040,-75.16606,39.96289,Point,1684 Spring Garden St.,19130,2,19,"17th & Spring Garden, Community College of Philadelphia",Eastern Standard Time,21,14520,0.22,39.96289,-75.16606,8218,6302,56.60%,43.40%,1.25%,0.97%,1.11%,0101000020E61000001F4B1FBAA0CA52C09ED2C1FA3FFB4340
38,3041,-75.13546,39.96849,Point,1176 Leopard Ave.,19123,11,8,"Girard Station, MFL",Eastern Standard Time,19,8889,-0.37,39.96849,-75.13546,4026,4863,45.30%,54.70%,0.61%,0.75%,0.68%,0101000020E6100000A27A6B60ABC852C06440F67AF7FB4340
39,3043,-75.17474,39.93082,Point,1625 S. 18th St.,19145,13,5,"18th & Fernon, Aquinas Center",Eastern Standard Time,18,8204,-0.44,39.93082,-75.17474,4064,4140,49.50%,50.50%,0.62%,0.64%,0.63%,0101000020E61000006553AEF02ECB52C03A3B191C25F74340
40,3045,-75.16237,39.94792,Point,213 S. 13th St.,19107,11,3,13th & Locust,Eastern Standard Time,15,36039,2.44,39.94792,-75.16237,17850,18189,49.50%,50.50%,2.73%,2.80%,2.76%,0101000020E61000007FF6234564CA52C0B79C4B7155F94340
41,3046,-75.14472,39.95012,Point,215 Market St.,19106,4,7,2nd & Market,Eastern Standard Time,11,18654,0.64,39.95012,-75.14472,9087,9567,48.70%,51.30%,1.39%,1.47%,1.43%,0101000020E6100000F0C4AC1743C952C044A33B889DF94340
42,3047,-75.14921,39.95071,Point,519 Market St.,19106,8,11,"Independence Mall, NPS",Eastern Standard Time,20,18814,0.66,39.95071,-75.14921,9196,9618,48.90%,51.10%,1.40%,1.48%,1.44%,0101000020E61000001D8F19A88CC952C076FD82DDB0F94340
43,3049,-75.1425,39.94509,Point,3 Dock St.,19106,11,18,Foglietta Plaza,Eastern Standard Time,29,11517,-0.09,39.94509,-75.1425,5335,6182,46.30%,53.70%,0.81%,0.95%,0.88%,0101000020E610000085EB51B81EC952C069E388B5F8F84340
44,3050,-75.15426,39.95339,Point,813 Arch St.,19107,4,11,9th & Arch,Eastern Standard Time,15,14424,0.21,39.95339,-75.15426,7103,7321,49.20%,50.80%,1.08%,1.13%,1.11%,0101000020E61000002EC55565DFC952C0AE2AFBAE08FA4340
45,3051,-75.17507,39.96744,Point,2237 Fairmount Ave.,19130,20,5,23rd & Fairmount,Eastern Standard Time,25,17580,0.53,39.96744,-75.17507,9504,8076,54.10%,45.90%,1.45%,1.24%,1.35%,0101000020E6100000B020CD5834CB52C0CF6BEC12D5FB4340
46,3052,-75.15695,39.94732,Point,923 Locust St.,19107,11,14,9th & Locust,Eastern Standard Time,25,24243,1.22,39.94732,-75.15695,12159,12084,50.20%,49.80%,1.86%,1.86%,1.86%,0101000020E6100000DC4603780BCA52C0616C21C841F94340
47,3053,-75.18154,39.93231,Point,1575 Point Breeze Ave.,19146,11,8,Point Breeze & Tasker,Eastern Standard Time,19,8966,-0.36,39.93231,-75.18154,4609,4357,51.40%,48.60%,0.70%,0.67%,0.69%,0101000020E61000009DBAF2599ECB52C0ECDD1FEF55F74340
48,3054,-75.1742,39.9625,Point,2170 Hamilton St.,19146,8,7,Rodin Museum,Eastern Standard Time,15,19296,0.71,39.9625,-75.1742,9554,9742,49.50%,50.50%,1.46%,1.50%,1.48%,0101000020E6100000A5BDC11726CB52C03333333333FB4340
49,3055,-75.15457,39.95112,Point,834 Market St.,19107,4,11,8th & Market,Eastern Standard Time,15,13151,0.07,39.95112,-75.15457,6703,6448,51.00%,49.00%,1.02%,0.99%,1.01%,0101000020E610000056BC9179E4C952C02849D74CBEF94340
50,3056,-75.15813,39.97669,Point,1501 N. Broad St.,19122,14,9,Broad & Oxford,Eastern Standard Time,23,14702,0.23,39.97669,-75.15813,7521,7181,51.20%,48.80%,1.15%,1.10%,1.13%,0101000020E61000000EA14ACD1ECA52C0452A8C2D04FD4340
51,3057,-75.1816,39.96371,Point,2600 Benjamin Franklin Pkwy.,19130,15,8,Philadelphia Museum of Art,Eastern Standard Time,23,26886,1.49,39.96442,-75.17999,13430,13456,50.00%,50.00%,2.05%,2.07%,2.06%,0101000020E6100000083D9B559FCB52C0016A6AD95AFB4340
52,3058,-75.17001,39.96716,Point,1940 Fairmount Ave.,19130,6,7,20th & Fairmount,Eastern Standard Time,13,14141,0.18,39.96716,-75.17001,7763,6378,54.90%,45.10%,1.19%,0.98%,1.08%,0101000020E61000008D7F9F71E1CA52C0EBFF1CE6CBFB4340
53,3059,-75.16174,39.96265,Point,1415 Spring Garden St.,19123,6,15,"Spring Garden Station, BSL",Eastern Standard Time,21,13344,0.09,39.96265,-75.16174,7136,6208,53.50%,46.50%,1.09%,0.95%,1.02%,0101000020E61000001F9DBAF259CA52C048BF7D1D38FB4340
54,3060,-75.17036,39.95923,Point,302 N. 19th St.,19103,9,10,Free Library of Philadelphia - Central Library,Eastern Standard Time,19,12915,0.05,39.95923,-75.17036,6183,6732,47.90%,52.10%,0.94%,1.04%,0.99%,0101000020E6100000FB22A12DE7CA52C0C9AB730CC8FA4340
55,3061,-75.17761,39.95425,Point,2241 Market St.,19103,2,23,23rd & Market,Eastern Standard Time,25,23111,1.1,39.95425,-75.17761,11314,11797,49.00%,51.00%,1.73%,1.81%,1.77%,0101000020E6100000535C55F65DCB52C0A01A2FDD24FA4340
56,3062,-75.17943,39.95197,Point,120 S. 24th St.,19103,9,6,24th & Sansom,Eastern Standard Time,15,14871,0.25,39.95197,-75.17943,7212,7659,48.50%,51.50%,1.10%,1.18%,1.14%,0101000020E6100000F67AF7C77BCB52C0F6622827DAF94340
57,3063,-75.1698,39.94633,Point,391  S. 17th St.,19103,3,22,17th & Pine,Eastern Standard Time,25,21132,0.9,39.94633,-75.1698,10843,10289,51.30%,48.70%,1.66%,1.58%,1.62%,0101000020E610000017B7D100DECA52C0A29C685721F94340
58,3064,-75.17327,39.9384,Point,1800 Washington Ave.,19146,10,5,"18th & Washington, Chew Playground",Eastern Standard Time,15,13943,0.16,39.9384,-75.17327,6938,7005,49.80%,50.20%,1.06%,1.08%,1.07%,0101000020E610000030D80DDB16CB52C08048BF7D1DF84340
59,3065,-75.15171,39.9707,Point,915 W. Girard Ave.,19123,5,10,Girard & Hutchinson,Eastern Standard Time,15,2325,-1.04,39.9707,-75.15171,1279,1046,55.00%,45.00%,0.20%,0.16%,0.18%,0101000020E6100000791EDC9DB5C952C0151DC9E53FFC4340
60,3066,-75.17348,39.94561,Point,1910 Lombard St.,19146,14,5,19th & Lombard,Eastern Standard Time,19,18976,0.68,39.94561,-75.17348,9999,8977,52.70%,47.30%,1.53%,1.38%,1.45%,0101000020E6100000A5A0DB4B1ACB52C0A2629CBF09F94340
61,3067,-75.19973,39.96411,Point,631 N. 39th St.,19104,9,8,"39th & Mt. Vernon, Mantua Haverford Community Center",Eastern Standard Time,17,2389,-1.04,39.96411,-75.19973,1288,1101,53.90%,46.10%,0.20%,0.17%,0.18%,0101000020E6100000ED815660C8CC52C08FDFDBF467FB4340
62,3068,-75.16711,39.93549,Point,1201 S. Broad St.,19146,11,7,Broad & Federal,Eastern Standard Time,18,14368,0.2,39.93549,-75.16711,7273,7095,50.60%,49.40%,1.11%,1.09%,1.10%,0101000020E6100000693524EEB1CA52C016DEE522BEF74340
63,3069,-75.15038,39.93704,Point,403 Christian St.,19147,17,6,4th & Christian,Eastern Standard Time,23,14733,0.24,39.93704,-75.15038,7347,7386,49.90%,50.10%,1.12%,1.14%,1.13%,0101000020E61000003D7E6FD39FC952C09D853DEDF0F74340
64,3070,-75.13983,39.96062,Point,117 Spring Garden St.,19123,9,10,"Spring Garden Station, MFL",Eastern Standard Time,19,9122,-0.34,39.96062,-75.13983,4419,4703,48.40%,51.60%,0.67%,0.72%,0.70%,0101000020E6100000FB3F87F9F2C852C017F19D98F5FA4340
65,3071,-75.18788,39.96173,Point,3170 Baring St.,19104,7,6,"32nd & Baring, Drexel Park",Eastern Standard Time,13,7916,-0.47,39.96173,-75.18788,4470,3446,56.50%,43.50%,0.68%,0.53%,0.61%,0101000020E6100000A4E4D53906CC52C082CAF8F719FB4340
66,3072,-75.14541,39.93445,Point,925 S. Front St.,19147,22,3,Front & Carpenter,Eastern Standard Time,25,9152,-0.34,39.93445,-75.14541,4357,4795,47.60%,52.40%,0.67%,0.74%,0.70%,0101000020E6100000BAA0BE654EC952C0A4DFBE0E9CF74340
67,3073,-75.15242,39.96143,Point,802 Spring Garden St.,19123,7,8,9th & Spring Garden,Eastern Standard Time,15,9156,-0.34,39.96143,-75.15242,4549,4607,49.70%,50.30%,0.69%,0.71%,0.70%,0101000020E610000068D0D03FC1C952C057B2632310FB4340
68,3074,-75.20987,39.95511,Point,160 S. 44th St.,19104,8,7,44th & Walnut,Eastern Standard Time,15,9727,-0.28,39.95511,-75.20987,5077,4650,52.20%,47.80%,0.78%,0.72%,0.75%,0101000020E6100000569A94826ECD52C0910A630B41FA4340
69,3075,-75.16125,39.96718,Point,1413 Fairmount Ave.,19130,9,3,Fairmount & Ridge,Eastern Standard Time,12,8879,-0.37,39.96718,-75.16125,4917,3962,55.40%,44.60%,0.75%,0.61%,0.68%,0101000020E6100000B81E85EB51CA52C032ACE28DCCFB4340
70,3077,-75.16351,39.97207,Point,1617 Girard Ave.,19130,1,18,17th & Girard,Eastern Standard Time,19,4432,-0.83,39.97207,-75.16351,2591,1841,58.50%,41.50%,0.40%,0.28%,0.34%,0101000020E61000006AA4A5F276CA52C01CB62DCA6CFC4340
72,3086,-75.16691,39.94019,Point,1406 Christian Street,19146,11,10,Broad & Christian,Eastern Standard Time,21,10056,-0.25,39.94019,-75.16691,5119,4937,50.90%,49.10%,0.78%,0.76%,0.77%,0101000020E610000006D847A7AECA52C05C035B2558F84340
73,3088,-75.1418,39.96984,Point,317 W. Girard Ave. ,19125,16,4,3rd & Girard,Eastern Standard Time,20,4918,-0.78,39.96984,-75.1418,2299,2619,46.70%,53.30%,0.35%,0.40%,0.38%,0101000020E6100000A9A44E4013C952C0232D95B723FC4340
74,3093,-75.18701,39.98837,Point,2039 N. 33rd Street,19121,8,13,33rd & Diamond,Eastern Standard Time,21,2278,-1.05,39.98837,-75.18701,1205,1073,52.90%,47.10%,0.18%,0.17%,0.17%,0101000020E61000009981CAF8F7CB52C07C2C7DE882FE4340
75,3095,-75.18052,39.98771,Point,2039 N. 29th Street,19121,3,19,29th & Diamond,Eastern Standard Time,22,3445,-0.93,39.98771,-75.18052,1765,1680,51.20%,48.80%,0.27%,0.26%,0.26%,0101000020E61000008811C2A38DCB52C051F701486DFE4340
76,3096,-75.17975,39.99119,Point,2301 N. 29th Street,19132,3,16,29th & Dauphin,Eastern Standard Time,19,2587,-1.02,39.99119,-75.17975,1363,1224,52.70%,47.30%,0.21%,0.19%,0.20%,0101000020E61000002FDD240681CB52C0A60F5D50DFFE4340
77,3097,-75.13339,39.97888,Point,1902 N. Front Street,19122,6,16,"Berks Station, MFL",Eastern Standard Time,23,4260,-0.84,39.97888,-75.13339,1928,2332,45.30%,54.70%,0.29%,0.36%,0.33%,0101000020E610000043E7357689C852C0AF5A99F04BFD4340
78,3098,-75.16042,39.93431,Point,1201 S. 10th Street,19147,19,0,10th & Federal,Eastern Standard Time,19,6802,-0.58,39.93431,-75.16042,3170,3632,46.60%,53.40%,0.48%,0.56%,0.52%,0101000020E6100000F5673F5244CA52C0B329577897F74340
79,3099,-75.15094,39.93401,Point,1110 S. 4th Street,19147,11,8,4th & Washington,Eastern Standard Time,19,5329,-0.73,39.93401,-75.15094,2543,2786,47.70%,52.30%,0.39%,0.43%,0.41%,0101000020E610000021EA3E00A9C952C08811C2A38DF74340
80,3100,-75.15103,39.92777,Point,1600 E. Moyamensing,19148,13,10,Moyamensing & Tasker,Eastern Standard Time,23,9979,-0.25,39.92777,-75.15103,4568,5411,45.80%,54.20%,0.70%,0.83%,0.76%,0101000020E6100000C1ADBB79AAC952C0DF1AD82AC1F64340
81,3101,-75.15955,39.94295,Point,1015 South Street,19147,8,10,11th & South,Eastern Standard Time,18,18984,0.68,39.94295,-75.15955,9502,9482,50.10%,49.90%,1.45%,1.46%,1.45%,0101000020E6100000EA04341136CA52C0B1E1E995B2F84340
82,3102,-75.18034,39.96818,Point,2601 Pennsylvania Avenue,19130,23,3,26th & Pennsylvania,Eastern Standard Time,26,14351,0.2,39.96818,-75.18034,6911,7440,48.20%,51.80%,1.06%,1.14%,1.10%,0101000020E6100000488AC8B08ACB52C015527E52EDFB4340
83,3103,-75.1794,39.97714,Point,2651 Master Street,19121,6,16,"27th & Master, Athletic Recreation Center",Eastern Standard Time,22,1366,-1.14,39.97714,-75.1794,709,657,51.90%,48.10%,0.11%,0.10%,0.10%,0101000020E6100000C139234A7BCB52C085CE6BEC12FD4340
84,3104,-75.19209,39.96664,Point,712 N. 34th Street,19104,5,8,34th & Mantua,Eastern Standard Time,13,1333,-1.15,39.96664,-75.19209,798,535,59.90%,40.10%,0.12%,0.08%,0.10%,0101000020E6100000DFF8DA334BCC52C0B28009DCBAFB4340
85,3105,-75.12996,39.96652,Point,1341 N. Delaware Avenue,19125,0,19,Penn Treaty Park,Eastern Standard Time,19,2306,-1.05,39.96652,-75.12996,1092,1214,47.40%,52.60%,0.17%,0.19%,0.18%,0101000020E61000007172BF4351C852C0087767EDB6FB4340
86,3106,-75.18637,39.99179,Point,2300 N. 33rd Street,19132,11,12,33rd & Dauphin,Eastern Standard Time,23,2278,-1.05,39.99179,-75.18637,1145,1133,50.30%,49.70%,0.17%,0.17%,0.17%,0101000020E610000027BD6F7CEDCB52C0FB3F87F9F2FE4340
87,3107,-75.18866,39.98203,Point,1626 N. 33rd Street,19121,9,14,33rd & Reservoir,Eastern Standard Time,23,1619,-1.12,39.98203,-75.18866,842,777,52.00%,48.00%,0.13%,0.12%,0.12%,0101000020E61000000E84640113CC52C06FD8B628B3FD4340
88,3108,-75.16551,39.95316,Point,1515 Market Street,19102,10,11,15th & Market,Eastern Standard Time,22,18338,0.61,39.95316,-75.16551,9096,9242,49.60%,50.40%,1.39%,1.42%,1.40%,0101000020E61000004D4A41B797CA52C07CED992501FA4340
89,3109,-75.20524,39.97486,Point,4105 Parkside Ave.,19104,1,18,Parkside & Girard,Eastern Standard Time,19,1824,-1.1,39.97486,-75.20524,933,891,51.20%,48.80%,0.14%,0.14%,0.14%,0101000020E610000030F5F3A622CD52C0DB166536C8FC4340
90,3110,-75.13641,39.96175,Point,779 Delaware Ave,19123,6,13,Del. River Trail & Penn St.,Eastern Standard Time,19,5443,-0.72,39.96175,-75.13641,2655,2788,48.80%,51.20%,0.41%,0.43%,0.42%,0101000020E61000003B3602F1BAC852C0C976BE9F1AFB4340
91,3111,-75.2122,39.97804,Point,4300 S. Concourse St.,19104,4,15,"Parkside & Belmont, Case Buildling",Eastern Standard Time,19,1623,-1.12,39.97804,-75.2122,898,725,55.30%,44.70%,0.14%,0.11%,0.12%,0101000020E6100000840D4FAF94CD52C005172B6A30FD4340
92,3112,-75.21825,39.95373,Point,310 S. 48th Street,19139,9,9,48th & Spruce,Eastern Standard Time,18,5790,-0.69,39.95373,-75.21825,3212,2578,55.50%,44.50%,0.49%,0.40%,0.44%,0101000020E61000008716D9CEF7CD52C0679B1BD313FA4340
93,3113,-75.19562,39.97469,Point,1046 N. 34th Street,19104,0,18,Philadelphia Zoo,Eastern Standard Time,18,1599,-1.12,39.97469,-75.19562,913,686,57.10%,42.90%,0.14%,0.11%,0.12%,0101000020E6100000639CBF0985CC52C07FDE54A4C2FC4340
94,3114,-75.18012,39.93775,Point,22nd & Federal St.,19122,12,5,22nd & Federal,Eastern Standard Time,17,6618,-0.6,39.93775,-75.18012,3373,3245,51.00%,49.00%,0.51%,0.50%,0.51%,0101000020E6100000C156091687CB52C079E9263108F84340
95,3115,-75.16757,39.97263,Point,1901 W. Girard St..,19130,1,22,"19th & Girard, PTTI",Eastern Standard Time,23,4588,-0.81,39.97263,-75.16757,2606,1982,56.80%,43.20%,0.40%,0.30%,0.35%,0101000020E61000009B728577B9CA52C0E38DCC237FFC4340
96,3117,-75.22399,39.97841,Point,1575 N 52nd St.,19131,5,14,ParkWest Town Center,Eastern Standard Time,19,757,-1.21,39.97841,-75.22399,399,358,52.70%,47.30%,0.06%,0.06%,0.06%,0101000020E6100000632827DA55CE52C0280AF4893CFD4340
97,3118,-75.21323,39.95866,Point,4628 Market Street,19139,10,13,"46th Street Station, MFL",Eastern Standard Time,23,3588,-0.91,39.95866,-75.21323,1774,1814,49.40%,50.60%,0.27%,0.28%,0.27%,0101000020E6100000AB21718FA5CD52C0DFFDF15EB5FA4340
98,3119,-75.20799,39.96674,Point,4209 Lancaster Avenue,19104,11,6,42nd & Lancaster,Eastern Standard Time,17,1721,-1.11,39.96674,-75.20799,955,766,55.50%,44.50%,0.15%,0.12%,0.13%,0101000020E610000048F949B54FCD52C016DEE522BEFB4340
99,3120,-75.18669,39.97522,Point,1210 N. 31st Street,19121,1,22,31st & Girard,Eastern Standard Time,23,5791,-0.69,39.97522,-75.18669,3064,2727,52.90%,47.10%,0.47%,0.42%,0.44%,0101000020E6100000601F9DBAF2CB52C0DB334B02D4FC4340
